"Advertiser Name","Advertiser URL","MID","Advertiser Description","Link to T&C","Link to Program History","Link to Home Page","Status","Contact Name","Contact Title","State","City","Address","Zip","Country","Phone","Email Address","Commission Terms","Offer","Offer Type","Year Joined","Expiration Date","Return Days","Transaction Update Window","TrueLock","Premium Status","Baseline Commission Terms","Baseline Offer","Baseline Offer Type","Baseline Expiration Date","Baseline Return Days","Baseline Transaction Update Window","Baseline TrueLock"
"B2C Jewels","http://www.b2cjewels.com","35490","B2C Jewels is a fast-growing online store of fine diamond jewelry and trendy products in gold, pearl & gemstone. Offering free shipping, 30-day returns, and huge discounts guarantee maximum customer come-back. We ship internationally! ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=35490_359484.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=35490&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=359484&type=3&subid=0","Active","B2C Jewels Affiliate Team","B2C Jewels Affiliate Team","New York","New York","16 W 46th St. Suite 902","10036","US","1-866-522-2539","affiliates@b2cjewels.com","7.00% commission on all goods; [3.00% commission on selected goods,; 3.00% commission on selected goods,; 1.00% commission on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods]; ","724.1","% of Sale","2013"," 31-DEC-15","90","90","N","N/A","7.00% commission on all goods; [3.00% commission on selected goods,; 3.00% commission on selected goods,; 1.00% commission on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods,; $15.00 flat fee on selected goods,; $30.00 flat fee on selected goods,; $50.00 flat fee on selected goods,; $100.00 flat fee on selected goods,; $200.00 flat fee on selected goods]; ","724.1","% of Sale"," 31-DEC-15","90","90","N",
"Beauty Brands","http://www.beautybrands.com/","39516","Beauty Brands is a revolutionary concept in the beauty industry: the first retail company to combine a full-service salon and spa within a dynamic retail superstore.  ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39516&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=342769&type=3&subid=0","Active","Sara Meyer","Director of eCommerce","Kansas","Lenexa","15507 West 99th Street ","66219","US","1-877-640-2248","affiliates@beautybrands.com","private |7.00% commission on all goods","4.1","% of Sale","2015"," 10-JUL-16","30","90","N","N/A","7.00% commission on all goods","3.1","% of Sale"," 07-JUL-16","30","90","N",
"Beauty Encounter","http://www.beautyencounter.com","37349","Beauty Encounter offers discounted prices on all things beauty: fragrances, cosmetics, skincare, hair care, and beauty accessories. We specialize in hard-to-find and discontinued products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=37349_265419.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=37349&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=265419&type=3&subid=0","Active","Anne Souvannaseng","Director of Marketing","California","Fountain Valley","18480 Pacific Street ","92708","US","714-698-0820 x 8021","affiliate@beautyencounter.com","private |6.00% commission on all goods","11.1","% of Sale","2013"," 31-DEC-15","7","90","N","N/A","6.00% commission on all goods","10.1","% of Sale"," 30-AUG-15","7","90","N",
"Beauty.com","http://www.beauty.com","3002","Beauty.com is a leading online destination for prestige beauty products. The web store provides a highly personalized shopping experience and offers more than 250 brands ranging from widely recognized to niche, hard-to-find products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=3002_298790.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=3002&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=298790&type=3&subid=0","Active","Mike Winand","Strategic Account Manager","Washington","Bellevue","411 108th Ave. NE Suite 1600","98004","US","(425) 372-3200","ls-beauty@linkshare.com","8.00% commission on all goods; [ on selected goods,; 0.00% commission on selected goods]; ","684.1","% of Sale","2012"," 30-JUN-15","20","90","N","Premium","8.00% commission on all goods; [ on selected goods,; 0.00% commission on selected goods]; ","860.1","% of Sale"," 01-JAN-16","1","90","N",
"Beckett Media","http://www.beckett.com/","39357","Beckett has been a leader in the collectibles industry since its start in 1984. We are the world?s most trusted source in collecting and a leading online destination for sports collectibles enthusiasts. . ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39357&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=341911&type=3&subid=0","Active","Nashim Akhtar","Marketing Manager","Texas","Dallas","4635 McEwen Road ","75244","US","2392802300","affiliate@beckett.com","private |5.00% commission on all goods","5.1","% of Sale","2014"," 19-DEC-15","14","90","N","N/A","5.00% commission on all goods","4.1","% of Sale"," 16-APR-15","14","90","N",
"Bedford Fair","http://bedfordfair.blair.com/","38665","Shop for comfortable women's clothing and shoes with Bedford Fair at affordable prices. Clothing available in misses, petite, and women sizes. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38665_301561_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38665&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=301561&type=3&subid=0","Active","Chris Park","Marketing Manager","Arizona","Tucson","7840 East Broadway Blvd. Suite 220","85710","US","520-745-4500","ls-bedfordfair@linkshare.com","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale","2014"," 11-MAY-15","10","90","N","N/A","5.00% commission on all goods; [0.00% commission on selected goods]; ","7.2","% of Sale"," 11-MAY-15","10","90","N",
"Best Buy Co, Inc.","http://www.bestbuy.com","38606","Best Buy is the #1 retailer and most trafficked website for consumer electronics.  You can always count on Best Buy for fantastic customer service and competitive prices on the best electronics, entertainment and appliance products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38606_355974.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38606&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=355974&type=3&subid=0","Active","Best Buy Affiliate Team","Account Team","Minnesota","Richfield","7601 Penn Avenue South ","55423","US","(612) 291-1000","Ls-bestbuy@linkshare.com","1.00% commission on all goods; [0.00% commission on selected goods,; 1.00% commission on selected goods,; 2.00% commission on selected goods,; 2.50% commission on selected goods,; 3.00% commission on selected goods,; 4.00% commission on selected goods,; 5.00% commission on selected goods,; 6.00% commission on selected goods,; $10.00 flat fee on selected goods,; $25.00 flat fee on selected goods]; ","230.19","% of Sale","2014"," 03-NOV-15","1","90","N","N/A","1.00% commission on all goods; [0.00% commission on selected goods,; 1.00% commission on selected goods,; 2.00% commission on selected goods,; 2.50% commission on selected goods,; 3.00% commission on selected goods,; 4.00% commission on selected goods,; 5.00% commission on selected goods,; 6.00% commission on selected goods,; $10.00 flat fee on selected goods,; $25.00 flat fee on selected goods]; ","230.19","% of Sale"," 03-NOV-15","1","90","N",
"Blair","http://www.blair.com/","38770","Women?s, men?s and home styles that fit you and your budget.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38770_20130916_212615.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38770&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=308080&type=3&subid=0","Active","Chris Park","Affiliate/Partnership Manager","Arizona","Tucson","7840 East Broadway Blvd. ","85710","US","814-723-3600 x6074","cjpark@blair.com","9.50% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale","2014"," 31-DEC-19","30","90","N","N/A","9.50% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale"," 31-DEC-19","30","90","N",
"BookPal","http://www.book-pal.com/","39470","BookPal features over 3 million titles in bulk, specializing in orders of 25+ copies per title. We provide affordable bulk books to schools, corporations, nonprofits and government institutions while ensuring exceptional customer service.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39470_335996.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39470&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=335996&type=3&subid=0","Active","Meghan Falk","Account Manager","California","Irvine","18101 Von Karman Ave Suite 120","92612","US","866-522-6657 x 245","Meghan@book-pal.com","private |5.00% commission on all goods; [private |0.00% commission on selected goods]; ","5.1","% of Sale","2014"," 13-MAY-15","60","90","N","N/A","5.00% commission on all goods; [0.00% commission on selected goods]; ","3.1","% of Sale"," 12-MAY-15","60","90","N",
"Boyles Brand Central","www.boyles.com","39858","Since 1949 Boyles Furniture & Rugs has been providing the finest home furnishings to the worlds most discerning clients.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=39858_20141112_200629.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39858&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=364524&type=3&subid=0","Active","Rich Barker","PPC Manager","North Carolina","Charlotte","207 Regency Executive Park Dr Suite 150 ","28217","US","9803220518","rich.barker@webfullcircle.com","private |9.00% commission on all goods","4.1","% of Sale","2015"," 31-DEC-15","30","90","N","N/A","9.00% commission on all goods","3.1","% of Sale"," 04-JUN-15","30","90","N",
"Budo Videos","http://www.budovideos.com/shop/customer/home.php","38695","Budovideos is a premiere supplier of martial arts\MMA apparel and gear.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38695_300914_2.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38695&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=300914&type=3&subid=0","Active","Affiliate Manager","Affiliate Manager","Texas","Garden Grove","7495 Anaconda Ave ","92841","US","4075190507","affiliates@budovideos.com","10.00% commission on all goods","5.2","% of Sale","2014"," 31-DEC-18","30","90","N","N/A","10.00% commission on all goods","5.2","% of Sale"," 31-DEC-18","30","90","N",
"Buy.com (dba Rakuten.com Shopping)","http://www.rakuten.com/","36342","We are a leading retailer focused on providing a positive shopping experience &  competitive prices and free shipping for over 12 million products. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=36342_353438.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36342&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=353438&type=3&subid=0","Active","Marianne Ng","Marketing Specialist","California","Aliso Viejo","85 Enterprise Suite 100","92656","US","(800) 800-0800","ls-buyus@linkshare.com","0.50%-2.00% commission on all goods; [0.00%-0.50% commission on selected goods,; 1.00%-3.00% commission on selected goods,; 0.00% commission on selected goods,; 0.00% commission on selected goods]; ","1036.8","% of Sale","2012"," 09-OCT-15","14","90","N","Premium","0.50%-2.00% commission on all goods; [0.00%-0.50% commission on selected goods,; 1.00%-3.00% commission on selected goods,; 0.00% commission on selected goods,; 0.00% commission on selected goods]; ","1036.8","% of Sale"," 09-OCT-15","14","90","N",
"CWD","http://www.cwdlimited.com","36429","By choosing to become a publisher for CWD, you have at your disposal quality name brand products, competitive and low pricing all year around in addition to product catalogs with an average order value of $324.00 and Conversion Rate of 3.5%- 5%.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36429&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=369859&type=3&subid=0","Active","CWD Affiliate Team","Affiliate Marketing Coordinator","New York","Cheektowaga","60 Industrial Parkway Suite #Z64 Suite #Z64","14227","US","905-353-1331","rachel@directagents.com","8.00% commission on all goods","28.1","% of Sale","2012"," 17-FEB-20","15","90","N","N/A","8.00% commission on all goods","28.1","% of Sale"," 17-FEB-20","15","90","N",
"Canadapetcare","www.canadapetcare.com","39866","CanadaPetCare.com is a trusted supplier of top quality pet supplies for dogs and cats at heavily discounted prices. We supply genuine brand name products like Frontline Plus, Comfortis, Heartgard, Revolution, Trifexis, K9 Advantix & Program Plus.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=39866&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=356074&type=3&subid=0","Active","Andy","Mr.","Surrey","hasselemere","102 High Street ","GU27 2LA","GB","1-800-982-1308","info@vertiforge.com","private |10.00% commission on all goods","4.1","% of Sale","2014"," 02-SEP-15","30","90","N","N/A","10.00% commission on all goods","2.2","% of Sale"," 13-JUL-15","30","90","N",
"Cascio Interstate Music","http://www.interstatemusic.com","24572","Cascio Interstate Music offers over 60,000 top brand music and consumer electronics products, including Drum Sets, Guitars, Amps, Keyboards, Recording Gear, Live Sound, Home Audio, Televisiona, Cameras, Tablets, Software, Game Consoles and iGear.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=24572_272227.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=24572&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=272227&type=3&subid=0","Active","Elizabeth Dylewski","Program Manager","Wisconsin","New Berlin","13819 W National Ave ","53151","US","2624395812","edylewski@interstatemusic.com","private |6.00%-8.00% commission on all goods","16.1","% of Sale","2013"," 08-NOV-15","30","90","N","N/A","6.00%-8.00% commission on all goods","4.2","% of Sale"," 31-DEC-15","30","90","N",
"Catherines","www.catherines.com","38598","Catherines is the fashion and fit authority for sizes 16W?34W and 0X?5X. We offer a beautiful selection of fashions and intimates, including hard-to-find extended sizes and an exclusive fit customers love.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=38598_20130709_010753.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38598&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=297382&type=3&subid=0","Active","Kippie Friedkin","On-Line Marketing Manager","Pennsylvania","Bensalem","3750 State Rd. ","19020","US","215-638-6854","Ls-catherines@linkshare.com","5.00% commission on all goods","3.1","% of Sale","2014"," 22-JUL-15","14","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 22-JUL-15","14","90","N",
"Char-Broil","http://www.charbroil.com/","38535","For over 60 years, Char-Broil has served as America's oldest and largest gas grill brand, supplying outdoor cooking enthusiasts with the best grills, parts and accessories in the industry, since 1948.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38535&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=294781&type=3&subid=0","Active","Affiliate Manager","Affiliate Manager","California","Santa Cruz","2125 Delaware Avenue Suite E","95060","US","831-464-1441","charbroil@affiliatetraction.com","5.00% commission on all goods","3.1","% of Sale","2014"," 14-JUN-15","30","90","N","N/A","5.00% commission on all goods","3.1","% of Sale"," 14-JUN-15","30","90","N",
"CharityUSA.com LLC","http://www.greatergood.com","36497","CharityUSA owns and operates the largest network of Click-to-Give websites in the world. Each website also has an international ecommerce store, and a percentage of proceeds from each purchase is donated to the related cause and non-profit partners.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=36497&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=306945&type=3&subid=0","Active","Leah Lockyer","Director of Media Investments","Washington","Seattle","600 University Street Suite 1000","98117","US","206-826-5189","leah@greatergood.com","6.00%-10.00% commission on all goods","13.1","% of Sale","2013"," 26-SEP-15","30","90","N","N/A","6.00%-10.00% commission on all goods","9.1","% of Sale"," 04-JUN-15","30","90","N",
"CheapOair.com","http://www.cheapoair.com","25020","CheapOair is an industry-leading travel website and offers among the highest payouts on Flights/Insurance, Hotels, Car Rentals & Vacations. We pay upon booking, not when travel occurs. JOIN NOW & EARN UP TO $35 COMMISSION PER SALE. ","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=25020_215652_3.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=25020&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=215652&type=3&subid=0","Active","CheapOair.com","CheapOair","New York","New York","135W 50th Street Suite 500","10020","US","646-738-7813  x83760","lsaffiliates@cheapoair.com","$8.00-10.00 flat fee on selected goods; [$15.00-17.00 flat fee on selected goods,; $5.00-7.00 flat fee on selected goods,; $5.00-7.00 flat fee on selected goods,; $25.00-35.00 flat fee on selected goods]; ","104.3","Flat Fee","2013"," 31-DEC-15","90","90","N","Premium","$8.00-10.00 flat fee on selected goods; [$15.00-17.00 flat fee on selected goods,; $5.00-7.00 flat fee on selected goods,; $5.00-7.00 flat fee on selected goods,; $25.00-35.00 flat fee on selected goods]; ","104.3","Flat Fee"," 31-DEC-15","90","90","N",
"ChicNova","http://www.chicnova.com/","38919","Earn up to 16% promoting the latest women's styles and fashion from ChicNova! We offer customers 20% off their first order and Free Worldwide Free Shipping of our 7,500 products.","http://cli.linksynergy.com/cli/publisher/common/agreement.php?file=agreement.txt","http://cli.linksynergy.com/cli/publisher/programs/advertiser_detail.php?mid=38919&nid=1&offerhistory=1&controls=1:1:3","http://click.linksynergy.com/fs-bin/click?id=V8uMkWlCTes&offerid=310730&type=3&subid=0","Active","Marc","Affiliate Manager","Zhejiang","hangzhou","Floor 31 Shengao Mansion, NO.200 Shimin Street,Jiangan District","310000","CN","8613735452873","guxiaodong@chicnova.com","private |15.00%-25.00% commission on all goods","20.1","% of Sale","2013"," 07-MAR-16","30","90","N","N/A","13.00%-16.00% commission on all goods","21.1","% of Sale"," 24-JAN-16","90","90","N",
